po_id,warehouse_id,supplier_id,order_date,product_category,order_priority,quantity_ordered,total_cost
PO000001,W027,SUP0069,2024-04-19,Electronics,Bulk,4300,8153347.55
PO000002,W015,SUP0106,2025-02-12,Personal Care,Standard,505,72479.54
PO000003,W004,SUP0117,2025-10-09,Electronics,Standard,576,1344876.92
PO000004,W024,SUP0079,2025-02-18,Grocery,Standard,930,61123.69
PO000005,W027,SUP0095,2025-08-24,Personal Care,Standard,518,78594.53
PO000006,W023,SUP0073,2025-10-30,Furniture,Bulk,2372,9031403.61
PO000007,W030,SUP0076,2025-10-18,Grocery,Standard,582,37360.8
PO000008,W006,SUP0082,2024-04-10,Furniture,Standard,869,3344441.51
PO000009,W006,SUP0141,2026-04-16,Grocery,Bulk,4454,269730.16
PO000010,W004,SUP0070,2025-09-28,Personal Care,Standard,424,69040.02
PO000011,W017,SUP0145,2024-12-01,Personal Care,Standard,1053,172166.98
PO000012,W011,SUP0073,2024-04-18,Grocery,Standard,379,25029.36
PO000013,W009,SUP0047,2024-07-23,Apparel,Standard,985,327607.02
PO000014,W013,SUP0017,2026-01-04,Apparel,Standard,807,266656.27
PO000015,W006,SUP0049,2025-12-09,Personal Care,Standard,426,58886.9
PO000016,W001,SUP0097,2026-02-20,Stationery,Urgent,334,14645.47
PO000017,W014,SUP0140,2024-02-27,Grocery,Standard,175,8973.91
PO000018,W007,SUP0057,2025-03-04,Furniture,Urgent,365,1243318.89
PO000019,W013,SUP0129,2024-09-28,Grocery,Standard,870,61542.55
PO000020,W030,SUP0116,2025-06-23,Stationery,Bulk,3710,168910.13
PO000021,W005,SUP0131,2024-06-17,Grocery,Bulk,2082,126694.55
PO000022,W020,SUP0041,2025-07-29,Home & Kitchen,Bulk,1698,793519.77
PO000023,W021,SUP0069,2025-10-16,Personal Care,Bulk,3885,551425.02
PO000024,W007,SUP0021,2024-10-28,Personal Care,Urgent,260,35459.47
PO000025,W014,SUP0063,2026-05-21,Grocery,Urgent,371,20896.4
PO000026,W030,SUP0125,2025-03-12,Home & Kitchen,Standard,625,292587.63
PO000027,W009,SUP0118,2025-11-01,Electronics,Standard,927,2178440.94
PO000028,W023,SUP0017,2024-03-28,Home & Kitchen,Standard,670,369536.38
PO000029,W027,SUP0145,2024-02-28,Grocery,Urgent,186,12548.45
PO000030,W009,SUP0029,2024-05-23,Apparel,Standard,80,27649.44
PO000031,W030,SUP0022,2024-08-02,Stationery,Urgent,148,7078.72
PO000032,W020,SUP0028,2025-08-15,Grocery,Standard,975,56818.44
PO000033,W015,SUP0140,2024-06-05,Grocery,Standard,1144,62377.94
PO000034,W023,SUP0034,2026-07-01,Home & Kitchen,Bulk,1240,645173.15
PO000035,W012,SUP0087,2026-07-04,Apparel,Urgent,172,50586.15
PO000036,W023,SUP0079,2025-12-10,Grocery,Standard,948,61710.82
PO000037,W006,SUP0121,2024-04-29,Apparel,Standard,529,192889.29
PO000038,W030,SUP0103,2025-04-29,Apparel,Standard,1006,375652.37
PO000039,W017,SUP0128,2025-12-18,Apparel,Standard,1154,391385.31
PO000040,W006,SUP0150,2026-01-22,Grocery,Bulk,4333,284303.71
PO000041,W012,SUP0044,2025-05-24,Home & Kitchen,Bulk,3571,1712425.83
PO000042,W028,SUP0063,2025-11-23,Grocery,Urgent,345,22279.05
