supplier_id,supplier_name,city,supplier_category,reliability_rating,contract_since
SUP0001,Gould-Foster,Delhi,Distributor,4.85,2024-04-28
SUP0002,Jones PLC,Ahmedabad,Wholesaler,3.77,2021-08-27
SUP0003,Diaz Inc,Visakhapatnam,Manufacturer,4.02,2021-04-25
SUP0004,"Lewis, Miller and Barnes",Chandigarh,Importer,4.2,2020-07-13
SUP0005,Davis Group,Jaipur,Manufacturer,3.61,2015-12-14
SUP0006,Serrano Inc,Pune,Manufacturer,4.0,2017-03-26
SUP0007,Mccoy PLC,Hyderabad,Distributor,4.0,2025-03-19
SUP0008,Ray Group,Delhi,Manufacturer,3.12,2012-02-03
SUP0009,Cherry Inc,Pune,Distributor,4.51,2020-04-12
SUP0010,"Garrison, Roberts and Thomas",Kochi,Wholesaler,4.3,2023-07-24
SUP0011,Duncan PLC,Bengaluru,Distributor,3.69,2024-07-17
SUP0012,"White, Perkins and Fowler",Lucknow,Distributor,3.91,2020-11-02
SUP0013,Davis-Joseph,Mumbai,Distributor,4.25,2020-12-24
SUP0014,"Brown, Harris and Becker",Bengaluru,Manufacturer,3.87,2016-09-06
SUP0015,Waters-Owens,Coimbatore,Manufacturer,3.88,2019-08-17
SUP0016,Ward-Wright,Bengaluru,Manufacturer,3.27,2024-09-17
SUP0017,Hale and Sons,Pune,Distributor,4.28,2020-02-26
SUP0018,Andrews PLC,Hyderabad,Manufacturer,4.06,2016-08-30
SUP0019,Golden-Blair,Lucknow,Manufacturer,4.14,2017-08-28
SUP0020,Lynch-Jones,Chandigarh,Distributor,3.24,2022-08-20
SUP0021,"Barnes, Sherman and Hernandez",Mumbai,Manufacturer,4.83,2022-12-12
SUP0022,Fisher-Hayden,Coimbatore,Distributor,4.08,2018-12-29
SUP0023,Duran PLC,Chennai,Manufacturer,3.81,2019-09-07
SUP0024,Peterson-Bell,Ahmedabad,Distributor,5.0,2015-08-15
SUP0025,Riley-Bryant,Bhopal,Manufacturer,3.98,2023-11-06
SUP0026,Duffy Group,Chandigarh,Manufacturer,3.27,2024-03-07
SUP0027,"Beck, Brown and Miles",Hyderabad,Importer,3.8,2018-09-07
SUP0028,"Lane, Maldonado and Griffin",Chennai,Importer,2.86,2017-11-09
SUP0029,"Cruz, Barnett and Johnson",Bhopal,Distributor,4.52,2015-09-30
SUP0030,Kelly-Carr,Chandigarh,Importer,3.79,2023-12-11
SUP0031,Brown-Tate,Visakhapatnam,Importer,3.63,2019-05-24
SUP0032,Rodgers Group,Jaipur,Distributor,4.54,2016-05-17
SUP0033,Rangel-Crawford,Jaipur,Wholesaler,3.17,2017-01-31
